site,micro,month,elevation_change,janzenDscore,janzenDscore_elevCorr,TAD,TAD_elevCorr,kde,kde_elevCorr,macro,foliage,flora,snow_source_flag,height_notes,snowdepth,latitude,veg_structure,foliage_cover,height,snow_presence
AK_ameriflux,soil,1,421,2.7476990334258207,1.7899189538842541,11.794,-11.248081867953546,0,-0.6289339326246794,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,50.2166000613126,68.88103606557378,0,0,-0.09,snow
AK_ameriflux,soil,2,421,1.8943127241559452,0.9365326446143787,12.536000000000001,-10.506081867949623,0.058035543280674805,-0.5708983893438401,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,59.92652508852861,68.88525000000001,0,0,-0.09,snow
AK_ameriflux,soil,3,421,2.598466649470535,1.6406865699289683,7.744999999999999,-15.297081867954198,0.006822529554366742,-0.6221114030702181,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,68.04053866767899,68.88525000000001,0,0,-0.09,snow
AK_ameriflux,soil,4,421,3.067263301421405,2.109483221879838,7.814,-15.228081867954199,0,-0.6289339326245847,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,65.13677276124459,68.88525000000001,0,0,-0.09,snow
AK_ameriflux,soil,5,421,1.2321683924899336,0.2743883129483671,10.761,-12.2810818679542,0.5102231552959984,-0.11871077732858641,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,46.66852183787581,68.88525000000001,0,0,-0.09,snow
AK_ameriflux,soil,6,421,0.9369927854921649,-0.020787294049401606,4.955,-18.087081867954193,0.656287902728475,0.02735397010389024,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,2.22941957160125,68.88525000000001,0,0,-0.09,snow
AK_ameriflux,soil,7,421,1.043992438289489,0.08621235874792244,5.452,-17.590081867954193,0.5952679331415364,-0.03366599948304844,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,0,68.88525000000001,0,0,-0.09,no snow
AK_ameriflux,soil,8,421,0.9252840208553552,-0.032496058686211304,3.677,-19.365081867954196,0.5689378724694333,-0.05999606015515152,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,from metadata,0.2251713001335,68.823558,0,0,-0.09,no snow
AK_nabesna,surface,1,394.7,1.1970597846856774,0.22638256232472537,42.61904761904762,19.27369974142255,0.6324514031615496,-0.004687131111358658,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,"nabesna informed estimate, Tok uninformed estimate",10.584438561195567,63.0217,115.86665432893273,0,3,snow
AK_nabesna,surface,2,394.7,1.186619790633245,0.21594256827229286,41.20634920634921,17.861001328724136,0.6412929273138319,0.0041543930409237385,alpine meadow,leaf-off,unknown but likely irrelevant,measured_daily,"nabesna informed estimate, Tok uninformed estimate",12.00326886274623,63.0217,115.86665432893273,0,3,snow
